Ann‚e;Titre;Titre VO;Budget;B‚n‚fice;Vue;Pays;Genre;
2008;Entre les murs;Entre les murs;;$34,114,067;;France;Com‚die dramatique;
2009;Le Ruban blanc;Das Weisse Band;$18,000,000;$25,727,044;;Autriche;Drame;
2010;Oncle Boonmee, celui qui se souvient de ses vies ant‚rieures;Loong Boonmee raleuk chat;;$2,514,148;;Tha‹lande;Drame;
2011;The Tree of Life;The Tree of Life;$32ÿ000ÿ000;$61,721,826;;tats-Unis;Drame;
2012;Amour;Amour;$9,700,000;$36,787,044 ;;Autriche;Drame;
2013;La Vie d'AdŠle;La Vie d'AdŠle;$5,250,000;$22,914,479;;France;Romance;
2014;Winter Sleep;Kis uykusu;;$1,953,493;;Turquie;Drame;
2015;Dheepan;Dheepan;$9,000,000;$7,704,357;;France;Drame;
2016;Moi, Daniel Blake;I, Daniel Blake;;$15,887,187;953 349;Royaume-Uni;Drame;
2017;The Square;The Square;;$8,758,343;;SuŠde;Com‚die dramatique;
2018;Une affaire de famille;Manbiki kazoku;$5500000;$72,625,772;178544;Japon;Drame;
2018;Le Livre d'image;Le Livre d'image;;$130,802;728ÿ905;Suisse;Exp‚rimental;
2019;Parasite;Gisaengchung;$11,800,000;$121,586,333;1 675 878;Cor‚e du Sud;Com‚die noire;
